iterations,val_accuracy,val_f1
1,0.8461538461538461,0.8627450980392157
5,0.8681318681318682,0.8775510204081632
10,0.9010989010989011,0.9108910891089109
20,0.9010989010989011,0.9108910891089109
30,0.9010989010989011,0.9108910891089109
50,0.9120879120879121,0.9215686274509803
75,0.9120879120879121,0.9215686274509803
100,0.9010989010989011,0.9108910891089109
150,0.8901098901098901,0.9038461538461539
200,0.8901098901098901,0.9038461538461539

TEST,0.8648648648648649,0.8743718592964824
