n_estimators,val_accuracy,val_f1
1,0.8681318681318682,0.8846153846153846
5,0.8791208791208791,0.8952380952380953
10,0.9120879120879121,0.9245283018867925
15,0.9120879120879121,0.9259259259259259
20,0.9340659340659341,0.9423076923076923
25,0.9120879120879121,0.9245283018867925
30,0.9120879120879121,0.9245283018867925
40,0.9010989010989011,0.9158878504672897
50,0.8901098901098901,0.9074074074074074
75,0.8901098901098901,0.9074074074074074
100,0.8901098901098901,0.9074074074074074

TEST,0.8864864864864865,0.896551724137931
