n_estimators,val_accuracy,val_f1
1,0.8461538461538461,0.8653846153846154
5,0.8461538461538461,0.8653846153846154
10,0.8681318681318682,0.8775510204081632
15,0.8681318681318682,0.88
20,0.8901098901098901,0.9
25,0.8791208791208791,0.8888888888888888
30,0.8901098901098901,0.9
40,0.8791208791208791,0.8910891089108911
50,0.8791208791208791,0.8932038834951457
75,0.8681318681318682,0.8823529411764706
100,0.8791208791208791,0.8932038834951457

TEST,0.8432432432432433,0.8585365853658536
